Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,MSRP
GeForce 9600 GT Rev. 2,G94B,"Feb 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,900 MHz,64 / 32 / 16,179
GeForce 9600 GT Mac Edition,G94,"Dec 22nd, 2008",PCIe 2.0 x16,"1024 MB, DDR2, 256 bit",600 MHz,266 MHz,64 / 32 / 16,
GeForce 9600 GSO,G92,"Apr 28th, 2008",PCIe 2.0 x16,"384 MB, GDDR3, 192 bit",550 MHz,800 MHz,96 / 48 / 12,
GeForce 9800 GT,G92B,"Jul 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,900 MHz,112 / 56 / 16,160
GeForce 9800 GT,G92,"Jul 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,900 MHz,112 / 56 / 16,160
GeForce 9800 GT Rebrand,G92,"Jul 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",725 MHz,1000 MHz,128 / 64 / 16,160
GeForce 9800 GTX+,G92,"Mar 28th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",675 MHz,1100 MHz,128 / 64 / 16,229
GeForce 9800 GX2,G92,"Mar 18th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,1000 MHz,128 / 64 / 16,599
GeForce GT 130 Mac Edition,G94B,"Dec 12th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 192 bit",600 MHz,792 MHz,48 / 24 / 12,
GeForce GTX 260,GT200,"Jun 16th, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,192 / 64 / 28,449
GeForce GTX 260 Rev. 2,GT200B,"Jul 23rd, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,192 / 64 / 28,449
GeForce GTX 260 Core 216,GT200,"Sep 16th, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,216 / 72 / 28,299
GeForce GTX 260 Core 216 Rev. 2,GT200B,"Nov 27th, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,216 / 72 / 28,299
GeForce GTX 280,GT200,"Jun 16th, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 512 bit",602 MHz,1107 MHz,240 / 80 / 32,649
GeForce GTX 285,GT200B,"Dec 23rd, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 512 bit",648 MHz,1242 MHz,240 / 80 / 32,359
Playstation 3 GPU 65nm,RSX-65nm,Aug-08,IGP,"256 MB, GDDR3, 128 bit",550 MHz,650 MHz,24 / 8 / 24 / 8,
Radeon HD 3410,RV610,"May 7th, 2009",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",519 MHz,396 MHz,40 / 4 / 4,
Radeon HD 3610,RV630,"Sep 24th, 2009",PCIe 1.0 x16,"512 MB, DDR2, 128 bit",594 MHz,396 MHz,120 / 8 / 4,
Radeon HD 4250,RV620,"Feb 25th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",594 MHz,396 MHz,40 / 4 / 4,
Radeon HD 4520,RV710,"Dec 2nd, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,
Radeon HD 4570 Rebrand,RV635,"Nov 22nd, 2009",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",796 MHz,396 MHz,120 / 8 / 4,
Radeon HD 4670 AGP,RV730,"Jul 17th, 2009",AGP 8x,"1024 MB, GDDR3, 128 bit",750 MHz,800 MHz,320 / 32 / 8,
Radeon HD 4730,RV770,"Jun 8th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",750 MHz,900 MHz,640 / 32 / 8,79
Radeon HD 4750,RV740,"Sep 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",730 MHz,800 MHz,640 / 32 / 16,
Radeon HD 4770,RV740,"Apr 28th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",750 MHz,800 MHz,640 / 32 / 16,109
Radeon HD 4810,RV770,"May 28th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",625 MHz,900 MHz,640 / 32 / 8,
Radeon HD 4860,RV790,"Sep 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",700 MHz,750 MHz,640 / 32 / 16,
Radeon HD 4870 Mac Edition,RV770,"Jan 6th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",750 MHz,850 MHz,800 / 40 / 16,
Radeon HD 4890,RV790,"Apr 2nd, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,975 MHz,800 / 40 / 16,249
Radeon HD 5750,Juniper,"Oct 13th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",700 MHz,1150 MHz,720 / 36 / 16,
Radeon HD 5770,Juniper,"Oct 13th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1200 MHz,800 / 40 / 16,159
Radeon HD 5850,Cypress,"Sep 30th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1440 / 72 / 32,
Radeon HD 5870,Cypress,"Sep 23rd, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,1200 MHz,1600 / 80 / 32,399
Radeon HD 5950,Hemlock,Never Released,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1440 / 72 / 32,
Radeon HD 5970,Hemlock,"Nov 18th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1600 / 80 / 32,699
GeForce 9600 GTX,G92,"May 27th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",580 MHz,700 MHz,96 / 48 / 16,
GeForce 9800 GTX+,G92B,"Jan 16th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",738 MHz,1100 MHz,128 / 64 / 16,229
GeForce G100 OEM,G98S,"Mar 10th, 2009",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,400 MHz,8/4/2004,
GeForce GT 120 OEM,G96C,"Mar 10th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",738 MHz,504 MHz,32 / 16 / 8,
GeForce GT 120 Mac Edition,G96C,"Jan 20th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",550 MHz,800 MHz,32 / 16 / 8,
GeForce GT 130 OEM,G94B,"Mar 10th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 192 bit",500 MHz,500 MHz,48 / 24 / 12,
GeForce GT 140 OEM,G94B,"Mar 10th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",650 MHz,900 MHz,64 / 32 / 16,
GeForce GTS 150 OEM,G92,"Mar 10th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",738 MHz,1000 MHz,128 / 64 / 16,
GeForce 205 OEM,GT218S,"Nov 26th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",589 MHz,400 MHz,16 / 8 / 4,
GeForce 210 PCI,GT216,"Oct 12th, 2009",PCI,"512 MB, DDR2, 64 bit",475 MHz,400 MHz,16 / 8 / 4,
GeForce 210 OEM,GT216,"Sep 4th, 2009",PCIe 2.0 x16,"1024 MB, DDR2, 64 bit",475 MHz,400 MHz,16 / 8 / 4,
GeForce 210,GT218S,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",520 MHz,400 MHz,16 / 8 / 4,
GeForce 210 Rev. 2,GT218S,"Oct 12th, 2009",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",520 MHz,400 MHz,16 / 8 / 4,
GeForce G210 OEM,G96C,"May 26th, 2009",PCIe 1.0 x16,"512 MB, DDR2, 64 bit",550 MHz,504 MHz,16 / 8 / 4,
GeForce G210 OEM Rev. 2,GT218S,"Aug 24th, 2009",PCIe 2.0 x16,"128 MB, DDR2, 64 bit",589 MHz,400 MHz,16 / 8 / 4,
GeForce GT 220 OEM,GT215,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",506 MHz,700 MHz,48 / 16 / 8,
GeForce GT 220,GT216,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",615 MHz,1000 MHz,48 / 16 / 8,
GeForce GT 230 OEM,G92B,"Apr 27th, 2009",PCIe 2.0 x16,"1536 MB, DDR2, 192 bit",500 MHz,500 MHz,96 / 48 / 12,
GeForce GT 230,G94B,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,900 MHz,48 / 24 / 16,
GeForce GTS 240 OEM,G92B,"Jul 1st, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",675 MHz,1100 MHz,112 / 56 / 16,
GeForce GT 240,GT215,"Nov 17th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",550 MHz,850 MHz,96 / 32 / 8,80
GeForce GTS 250,G92B,"Mar 4th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",675 MHz,1008 MHz,128 / 64 / 16,199
GeForce GTS 250,G92B,"Mar 4th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",702 MHz,1000 MHz,128 / 64 / 16,199
GeForce GTX 260 OEM,GT200,"Dec 8th, 2009",PCIe 2.0 x16,"1792 MB, GDDR3, 448 bit",518 MHz,1008 MHz,192 / 64 / 28,
GeForce GTX 275,GT200B,"Jan 15th, 2009",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",633 MHz,1134 MHz,240 / 80 / 28,249
GeForce GTX 285 Mac Edition,GT200B,"Jan 15th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 512 bit",648 MHz,1242 MHz,240 / 80 / 32,
GeForce GTX 285 X2,GT200B,"Jun 17th, 2009",PCIe 2.0 x16,"2 GB, GDDR3, 512 bit",648 MHz,1152 MHz,240 / 80 / 32,
GeForce GTX 295,GT200B,"Jan 8th, 2009",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,240 / 80 / 28,499
GeForce GTX 295 Single PCB,GT200B,"Jun 16th, 2009",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,1008 MHz,240 / 80 / 28,499
GeForce 310 OEM,GT218S,"Nov 27th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",589 MHz,333 MHz,16 / 8 / 4,
Radeon HD 6850,Barts,"Oct 21st, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",775 MHz,1000 MHz,960 / 48 / 32,179
Radeon HD 6870,Barts,"Oct 21st, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",900 MHz,1050 MHz,1120 / 56 / 32,239
Radeon HD 6950,Cayman,"Dec 14th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",800 MHz,1250 MHz,1408 / 88 / 32,299
Radeon HD 6970,Cayman,"Dec 14th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",880 MHz,1375 MHz,1536 / 96 / 32,369
Radeon HD 3570,RV620,"Jul 5th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",796 MHz,495 MHz,40 / 4 / 4,
Radeon HD 4700,RV730,"Feb 11th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",600 MHz,400 MHz,320 / 32 / 8,
Radeon HD 4855,RV770,"Jan 3rd, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",575 MHz,900 MHz,640 / 32 / 16,
Radeon HD 5450 PCI,Cedar,"Feb 4th, 2010",PCI,"512 MB, DDR2, 64 bit",650 MHz,333 MHz,80 / 8 / 4,
Radeon HD 5450 PCIe x1,Cedar,"Feb 4th, 2010",PCIe 2.0 x1,"512 MB, DDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,
Radeon HD 5450,Cedar,"Feb 4th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",650 MHz,400 MHz,80 / 8 / 4,
Radeon HD 5550,Redwood,"Feb 9th, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",550 MHz,800 MHz,320 / 16 / 8,
Radeon HD 5570 OEM,Redwood,"Feb 9th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",550 MHz,667 MHz,320 / 16 / 8,
Radeon HD 5570,Pinewood,"Feb 9th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",625 MHz,800 MHz,400 / 20 / 8,
Radeon HD 5570,Redwood,"Feb 9th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,
Radeon HD 5670,Redwood,"Jan 14th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",775 MHz,1000 MHz,400 / 20 / 8,119
Radeon HD 5670 640SP Edition,Juniper,"Jul 18th, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",750 MHz,1000 MHz,640 / 32 / 8,119
Radeon HD 5770 Mac Edition,Juniper,"Jul 4th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1195 MHz,800 / 40 / 16,
Radeon HD 5770 X2,Juniper,"Oct 13th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1200 MHz,800 / 40 / 16,
Radeon HD 5830,Cypress,"Feb 25th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",800 MHz,1000 MHz,1120 / 56 / 16,
Radeon HD 5870 Mac Edition,Cypress,"Jun 30th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,1195 MHz,1600 / 80 / 32,479
Radeon HD 5870 Eyefinity 6,Cypress,"Mar 11th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",850 MHz,1200 MHz,1600 / 80 / 32,479
Xbox 360 S GPU,Xenos Vejle,"Jun 19th, 2010",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,
GeForce 8400 GS Rev. 3,GT218S,"Jul 12th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",520 MHz,400 MHz,8/4/2004,
GeForce 9500 GT Mac Edition,G96C,"May 19th, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",550 MHz,800 MHz,32 / 16 / 8,
GeForce GT 220,G94,"Jan 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,700 MHz,48 / 24 / 8,
GeForce GTX 275 PhysX Edition,GT200B,"Feb 16th, 2010",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",633 MHz,1134 MHz,240 / 80 / 28,
GeForce 315 OEM,GT216,"Mar 31st, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",475 MHz,790 MHz,48 / 16 / 8,
GeForce GT 320 OEM,GT215,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",540 MHz,790 MHz,72 / 24 / 8,
GeForce GT 330 OEM,GT215,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",540 MHz,790 MHz,96 / 32 / 8,
GeForce GT 330 OEM,GT215,"Feb 2nd, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",550 MHz,1000 MHz,96 / 32 / 8,
GeForce GT 330 OEM,G92B,"Feb 2nd, 2010",PCIe 2.0 x16,"256 MB, DDR2, 128 bit",500 MHz,510 MHz,96 / 48 / 16,
GeForce GT 330 OEM,G92,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",500 MHz,800 MHz,96 / 48 / 8,
GeForce GT 340 OEM,GT215,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",550 MHz,850 MHz,96 / 32 / 8,
GeForce 405 OEM,GT218S,"Sep 3rd, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",589 MHz,790 MHz,16 / 8 / 4,
GeForce 405 OEM,GT216,"Sep 3rd, 2010",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",475 MHz,400 MHz,24 / 12 / 8,
GeForce 405 OEM,GT216,"Sep 3rd, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",475 MHz,800 MHz,48 / 16 / 8,
GeForce GT 415 OEM,GT216,"Sep 3rd, 2010",PCIe 2.0 x16,"512 MB, DDR3, 128 bit",625 MHz,333 MHz,48 / 16 / 8,
GeForce GT 420 OEM,GF108,"Sep 3rd, 2010",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",700 MHz,900 MHz,48 / 4 / 4,
GeForce GT 430 PCI,GF108,"Oct 11th, 2010",PCI,"512 MB, DDR3, 64 bit",700 MHz,600 MHz,96 / 16 / 4,
GeForce GT 430,GF108,"Oct 11th, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",700 MHz,800 MHz,96 / 16 / 4,79
GeForce GT 430 OEM,GF108,"Oct 11th, 2010",PCIe 2.0 x16,"2 GB, DDR3, 128 bit",700 MHz,800 MHz,96 / 16 / 4,
GeForce GT 440 OEM,GF106,"Oct 11th, 2010",PCIe 2.0 x16,"1536 MB, DDR3, 192 bit",810 MHz,900 MHz,144 / 24 / 24,
GeForce GTS 450 OEM,GF106,"Sep 13th, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",783 MHz,902 MHz,144 / 24 / 16,
GeForce GTS 450 OEM,GF106,"Oct 11th, 2010",PCIe 2.0 x16,"1536 MB, GDDR5, 192 bit",790 MHz,1000 MHz,144 / 24 / 24,
GeForce GTS 450,GF106,"Sep 13th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",783 MHz,902 MHz,192 / 32 / 16,129
GeForce GTX 460 SE,GF104,"Nov 15th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",650 MHz,850 MHz,288 / 48 / 32,160
GeForce GTX 460 SE v2,GF114,"Nov 15th, 2010",PCIe 2.0 x16,"768 MB, GDDR5, 192 bit",650 MHz,850 MHz,288 / 48 / 24,
GeForce GTX 460 OEM,GF104,"Oct 11th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",650 MHz,850 MHz,336 / 56 / 32,
GeForce GTX 460,GF104,"Jul 12th, 2010",PCIe 2.0 x16,"768 MB, GDDR5, 192 bit",675 MHz,900 MHz,336 / 56 / 24,199
GeForce GTX 460,GF104,"Jul 12th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",675 MHz,900 MHz,336 / 56 / 32,229
GeForce GTX 465,GF100,"May 31st, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",608 MHz,802 MHz,352 / 44 / 32,279
GeForce GTX 470,GF100,"Mar 26th, 2010",PCIe 2.0 x16,"1280 MB, GDDR5, 320 bit",608 MHz,837 MHz,448 / 56 / 40,349
GeForce GTX 470 PhysX Edition,GF100,Never Released,PCIe 2.0 x16,"1280 MB, GDDR5, 320 bit",608 MHz,837 MHz,448 / 56 / 40,
GeForce GTX 470 X2,GF100,Never Released,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",608 MHz,837 MHz,352 / 44 / 32,
GeForce GTX 480,GF100,"Mar 26th, 2010",PCIe 2.0 x16,"1536 MB, GDDR5, 384 bit",701 MHz,924 MHz,480 / 60 / 48,499
GeForce GTX 570,GF110,"Dec 7th, 2010",PCIe 2.0 x16,"1280 MB, GDDR5, 320 bit",732 MHz,950 MHz,480 / 60 / 40,349
GeForce GTX 570 Rev. 2,GF110,"Dec 7th, 2010",PCIe 2.0 x16,"1280 MB, GDDR5, 320 bit",732 MHz,950 MHz,480 / 60 / 40,349
GeForce GTX 580,GF110,"Nov 9th, 2010",PCIe 2.0 x16,"1536 MB, GDDR5, 384 bit",772 MHz,1002 MHz,512 / 64 / 48,499
Radeon HD 6230,Park,"Jul 2nd, 2011",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",650 MHz,667 MHz,80 / 8 / 4,
Radeon HD 6250,Cedar,"Jan 31st, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,
Radeon HD 6290,Cedar,"Dec 4th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,800 MHz,80 / 8 / 4,
Radeon HD 6350,Park,"Feb 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,400 MHz,80 / 8 / 4,23
Radeon HD 6350,Cedar,"Feb 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,23
Radeon HD 6390,Redwood,"Jul 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320 / 16 / 8,
Radeon HD 6450 OEM,Caicos,"Feb 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,533 MHz,160 / 8 / 4,
Radeon HD 6450,Caicos,"Apr 7th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,500 MHz,160 / 8 / 4,55
Radeon HD 6490,Redwood,"Jul 4th, 2011",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320 / 16 / 8,
Radeon HD 6510,Turks,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,667 MHz,320 / 16 / 8,
Radeon HD 6510,Redwood,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,400 / 20 / 8,
Radeon HD 6530,Redwood,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,600 MHz,400 / 20 / 8,
Radeon HD 6570,Thames,"Feb 7th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,480 / 24 / 8,
Radeon HD 6570 OEM,Turks,"Feb 7th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,900 MHz,480 / 24 / 8,
Radeon HD 6570,Turks,"Apr 19th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 128 bit",650 MHz,1000 MHz,480 / 24 / 8,79
Radeon HD 6670,Turks,"Apr 19th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480 / 24 / 8,99
Radeon HD 6750,Juniper,"Jan 21st, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",700 MHz,1150 MHz,720 / 36 / 16,
Radeon HD 6770,Juniper,"Jan 21st, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1200 MHz,800 / 40 / 16,129
Radeon HD 6790,Barts,"Apr 4th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",840 MHz,1050 MHz,800 / 40 / 16,149
Radeon HD 6850 X2,Barts,"Sep 19th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",800 MHz,1050 MHz,960 / 48 / 32,
Radeon HD 6870 X2,Barts,"Jul 8th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",900 MHz,1050 MHz,1120 / 56 / 32,520
Radeon HD 6930,Cayman,"Dec 1st, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,1200 MHz,1280 / 80 / 32,180
Radeon HD 6990,Antilles,"Mar 8th, 2011",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",830 MHz,1250 MHz,1536 / 96 / 32,699
Radeon HD 6970 X2,Antilles,Never Released,PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",880 MHz,1375 MHz,1536 / 96 / 32,
Radeon HD 7970,Tahiti,"Dec 22nd, 2011",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1375 MHz,2048 / 128 / 32,549
Radeon HD 4450,RV710,"Nov 18th, 2011",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,
Radeon HD 4580,RV635,"Nov 20th, 2011",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",796 MHz,693 MHz,120 / 8 / 4,
Radeon HD 4720,RV730,"Dec 11th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,667 MHz,320 / 32 / 8,
Radeon HD 5530,Cedar,"Mar 17th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,600 MHz,80 / 8 / 4,
Radeon HD 5570,Turks,"Oct 11th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,320 / 16 / 4,
Radeon HD 5630,Redwood,"Feb 15th, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,390 MHz,320 / 16 / 8,
Radeon HD 5690,Redwood,"Feb 1st, 2011",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",775 MHz,1000 MHz,400 / 20 / 8,
Radeon HD 5730,Redwood,"Feb 26th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",775 MHz,1000 MHz,400 / 20 / 8,
GeForce 9300 GS Rev. 2,GT218S,"Mar 12th, 2011",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",589 MHz,333 MHz,16 / 8 / 4,
GeForce 315 OEM,GT218S,"Feb 22nd, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",589 MHz,600 MHz,16 / 8 / 4,
GeForce 315 OEM,GT215,"Apr 28th, 2011",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",506 MHz,350 MHz,48 / 16 / 4,
GeForce GT 440,GF108,"Feb 1st, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",810 MHz,900 MHz,96 / 16 / 4,79
GeForce GT 440 Mac Edition,GF108,"Feb 9th, 2011",PCIe 1.0 x16,"1024 MB, DDR3, 128 bit",810 MHz,667 MHz,96 / 16 / 4,
GeForce GTS 450 Rev. 2,GF116,"Mar 15th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",783 MHz,902 MHz,192 / 32 / 16,
GeForce GTX 460 v2,GF114,"Sep 24th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 192 bit",779 MHz,1002 MHz,336 / 56 / 24,199
GeForce GTX 460 v2 ES,GF114,"Sep 24th, 2011",PCIe 2.0 x16,"1280 MB, GDDR5, 256 bit",779 MHz,1002 MHz,336 / 56 / 32,
GeForce GTX 460 X2,GF104,"Mar 11th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",701 MHz,900 MHz,336 / 56 / 32,
GeForce GTX 480 Core 512,GF100,Never Released,PCIe 2.0 x16,"1536 MB, GDDR5, 384 bit",527 MHz,700 MHz,512 / 64 / 48,
GeForce GTX 490,GF100,Never Released,PCIe 2.0 x16,"1536 MB, GDDR5, 384 bit",608 MHz,854 MHz,480 / 60 / 48,
GeForce 510 OEM,GF119S,"Sep 29th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",523 MHz,898 MHz,48 / 8 / 4,
GeForce GT 520 PCI,GF119S,"Apr 13th, 2011",PCI,"1024 MB, DDR3, 64 bit",810 MHz,900 MHz,48 / 8 / 4,
GeForce GT 520 PCIe x1,GF119S,"Apr 13th, 2011",PCIe 2.0 x1,"1024 MB, DDR3, 64 bit",810 MHz,900 MHz,48 / 8 / 4,
